sentence,priority
"With or without the sex , a wonderful tale of love and destiny , told well by a master storyteller",0
"Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .",0
"It 's best to avoid imprisonment with the dull , nerdy folks that inhabit Cherish .",0
An ambitious and moving but bleak film .,0
A model of what films like this should be like .,0
And I expect much more from a talent as outstanding as director Bruce McCulloch .,0
"Although Jackson is doubtless reserving the darkest hours for The Return of the King , we long for a greater sense of urgency in the here and now of The Two Towers .",0
It offers little beyond the momentary joys of pretty and weightless intellectual entertainment .,0
"As a movie , it never seems fresh and vital .",0
"It 's so crammed with scenes and vistas and pretty moments that it 's left a few crucial things out , like character development and coherence .",0
Vividly conveys both the pitfalls and the pleasures of over-the-top love .,0
"Occasionally funny and consistently odd , and it works reasonably well as a star vehicle for Zhao .",0
Consider the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director I admire .,0
"Yes , 4Ever is harmless in the extreme and it 'll mute your kids for nearly 80 minutes , but why not just treat the little yard apes to the real deal and take them to Spirited Away ?",0
A grimly competent and stolid and earnest military courtroom drama .,0
Cedar somewhat defuses this provocative theme by submerging it in a hoary love triangle .,0
"It 's full of cheesy dialogue , but great trashy fun that finally returns De Palma to his pulpy thrillers of the early '80s .",0
"But the problem with Wendigo , for all its effective moments , is n't really one of resources .",0
I wish it would have just gone more over-the-top instead of trying to have it both ways .,0
A good documentary can make interesting a subject you thought would leave you cold .,0
"Both Garcia and Jagger turn in perfectly executed and wonderfully sympathetic characters , who are alternately touching and funny .",0
"A typically observant , carefully nuanced and intimate French coming-of-age film that is an encouraging debut feature but has a needlessly downbeat ending that is too heavy for all that has preceded it .",0
Wait for pay per view or rental but do n't dismiss BarberShop out of hand .,0
All three women deliver remarkable performances .,0
Paul Bettany playing Malcolm McDowell ?,0
There 's just something about watching a squad of psychopathic underdogs whale the tar out of unsuspecting lawmen that reaches across time and distance .,0
"A relatively effective little potboiler until its absurd , contrived , overblown , and entirely implausible finale .",0
A charming and funny story of clashing cultures and a clashing mother\/daughter relationship .,0
"In the new release of Cinema Paradiso , the tale has turned from sweet to bittersweet , and when the tears come during that final , beautiful scene , they finally feel absolutely earned .",0
"When it 's this rich and luscious , who cares ?",0
"For all its plot twists , and some of them verge on the bizarre as the film winds down , Blood Work is a strong , character-oriented piece .",0
"Solondz may be convinced that he has something significant to say , but he is n't talking a talk that appeals to me .",0
"-LRB- Lawrence bounces -RRB- all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place .",0
"Instead of letting the laughs come as they may , Lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , take your pick .",0
"Working from Elliott 's memoir , Rohmer fashions the sort of delicate , articulate character - and - relationship study he 's favored for decades .",0
"It 's a brilliant , honest performance by Nicholson , but the film is an agonizing bore except when the fantastic Kathy Bates turns up .",0
"Broomfield is energized by Volletta Wallace 's maternal fury , her fearlessness , and because of that , his film crackles .",0
"Charming and witty , it 's also somewhat clumsy .",0
"A laughable -- or rather , unlaughable -- excuse for a film .",0
"Dense , exhilarating documentary .",0
