sentence,priority
"Keenly observed and refreshingly natural , Swimming gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner .",0
An old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .,0
"Like a pack of dynamite sticks , built for controversy .",0
It has the courage to wonder about big questions with sincerity and devotion .,0
An exhilarating experience .,0
"An exciting and involving rock music doc , a smart and satisfying look inside that tumultuous world .",0
"Sometimes there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely .",0
"entertaining enough , but nothing new",0
A treat for its depiction on not giving up on dreams when you 're a struggling nobody .,0
It 's the sweet Cinderella story that `` Pretty Woman '' wanted to be .,0
More trifle than triumph .,0
"A few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed , but skeptics are n't likely to enter the theater .",0
Consummate actor Barry has done excellent work here .,0
Despite its many infuriating flaws -- not the least of which is Amy 's self-absorbed personality -- Amy 's O 's honesty will win you over .,0
"Hoffman notches in the nuances of pain , but his smart , edgy voice and waddling profile -LRB- emphasized here -RRB- accent the humor of Wilson 's plight , and that saves his pathos from drippiness .",0
"A fine , rousing , G-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats .",0
One thing you have to give them credit for : The message of the movie is consistent with the messages espoused in the company 's previous video work .,0
Nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin .,0
"A misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment .",0
I loved looking at this movie .,0
An enjoyable above average summer diversion .,0
"If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy .",0
"The movie attempts to mine laughs from a genre -- the gangster\/crime comedy -- that wore out its welcome with audiences several years ago , and its cutesy reliance on movie-specific cliches is n't exactly endearing .",0
Lee Jeong-Hyang tells it so lovingly and films it so beautifully that I could n't help being captivated by it .,0
"Irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater .",0
"Seeing Seinfeld at home as he watches his own appearance on Letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy , even though the reality is anything but .",0
A well-rounded tribute to a man whose achievements -- and complexities -- reached far beyond the end zone .,0
Nicks and Steinberg match their own creations for pure venality -- that 's giving it the old college try .,0
Will grab your children by the imagination and amaze them and amuse them .,0
It might be the first sci-fi comedy that could benefit from a Three 's Company-style laugh track .,0
Paul Bettany is cool .,0
The result is something quite fresh and delightful .,0
"It 's coherent , well shot , and tartly acted , but it wears you down like a dinner guest showing off his doctorate .",0
... hopefully it 'll be at the dollar theatres by the time Christmas rolls around .,0
A close-to-solid espionage thriller with the misfortune of being released a few decades too late .,0
"Instead of letting the laughs come as they may , Lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , take your pick .",0
It 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .,0
"Not really a thriller so much as a movie for teens to laugh , groan and hiss at .",0
"Its gentle , touching story creeps into your heart .",0
"Give Shapiro , Goldman , and Bolado credit for good intentions , but there 's nothing here that they could n't have done in half an hour .",0
Allen 's underestimated charm delivers more goodies than lumps of coal .,0
It has all the excitement of eating oatmeal .,0
Julia is played with exasperating blandness by Laura Regan .,0
Its director 's most substantial feature for some time .,0
A ponderous meditation on love that feels significantly longer than its relatively scant 97 minutes .,0
"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",0
Like you could n't smell this turkey rotting from miles away .,0
It 's a documentary that says that the alternate sexuality meant to set you free may require so much relationship maintenance that celibacy can start looking good .,0
"The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",0
A sensitive and expertly acted crowd-pleaser that is n't above a little broad comedy and a few unabashedly sentimental tears .,0
It 's petty thievery like this that puts flimsy flicks like this behind bars,0
... quite good at providing some good old fashioned spooks .,0
A beguiling evocation of the quality that keeps Dickens evergreen : the exuberant openness with which he expresses our most basic emotions .,0
"If it 's not entirely memorable , the movie is certainly easy to watch .",0
"Van Wilder does n't bring anything new to the proverbial table , but it does possess a coherence absent in recent crass-a-thons like Tomcats , Freddy Got Fingered , and Slackers .",0
This ill-conceived and expensive project winds up looking like a bunch of talented thesps slumming it .,0
"So faithful to the doldrums of the not-quite-urban , not-quite-suburban milieu as to have viewers recoiling from the reality check .",0
"The camera soars above the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm .",0
"The work of an artist tormented by his heritage , using his storytelling ability to honor the many faceless victims .",0
The talented and clever Robert Rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second .,0
"` Moore is like a progressive bull in a china shop , a provocateur crashing into ideas and special-interest groups as he slaps together his own brand of liberalism . '",0
Charming and funny -LRB- but ultimately silly -RRB- movie .,0
"Highly irritating at first , Mr. Koury 's passive technique eventually begins to yield some interesting results .",0
Maintains your interest until the end and even leaves you with a few lingering animated thoughts .,0
"There 's a delightfully quirky movie to be made from curling , but Brooms is n't it .",0
Only at the prospect of Beck 's next project .,0
The second chapter of the Harry Potter series is even more magical than the first and simply the best family film of the year .,0
"Good car chases , great fight scenes , and a distinctive blend of European , American and Asian influences .",0
A backstage must-see for true fans of comedy .,0
"The story gives ample opportunity for large-scale action and suspense , which director Shekhar Kapur supplies with tremendous skill .",0
"`` Antwone Fisher '' is an earnest , by-the-numbers effort by Washington .",0
The voices are fine as well .,0
"Even film silliness needs a little gravity , beyond good hair and humping .",0
Warm and exotic .,0
Even better than the first one !,0
"Nicole Holofcener 's Lovely and Amazing , from her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style .",0
"A big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .",0
I like it .,0
"In its own way , Joshua is as blasphemous and nonsensical as a Luis BuÃ±uel film without the latter 's attendant intelligence , poetry , passion , and genius .",0
"Overall , the film misses the brilliance of Jelinek 's novel by some way .",0
Photographed with melancholy richness and eloquently performed yet also decidedly uncinematic .,0
"A stylish but steady , and ultimately very satisfying , piece of character-driven storytelling .",0
A giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of Oscar-winners : Susan Sarandon and Goldie Hawn .,0
"It challenges , this nervy oddity , like modern art should .",0
"Many of the effective horror elements are dampened through familiarity , -LRB- yet -RRB- are worthwhile .",0
Working from a surprisingly sensitive script co-written by Gianni Romoli ... Ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .,0
The thing about guys like Evans is this : You 're never quite sure where self-promotion ends and the truth begins .,0
It treats women like idiots .,0
-LRB- Sen 's -RRB- soap opera-ish approach undermines his good intentions .,0
"While this film is not in the least surprising , it is still ultimately very satisfying .",0
Even legends like Alfred Hitchcock and John Huston occasionally directed trifles ... so it 's no surprise to see a world-class filmmaker like Zhang Yimou behind the camera for a yarn that 's ultimately rather inconsequential .,0
"For the first time in years , De Niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars .",0
"About Amy 's cuteness , Amy 's career success -LRB- she 's a best-selling writer of self-help books who ca n't help herself -RRB- , and Amy 's neuroses when it comes to men .",0
Makes one thing abundantly clear .,0
It makes me say the obvious : Abandon all hope of a good movie ye who enter here .,0
It 's a satisfying summer blockbuster and worth a look .,0
"Parker holds true to Wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness .",0
"About as enjoyable , I would imagine , as searching for a quarter in a giant pile of elephant feces ... positively dreadful .",0
The early and middle passages are surprising in how much they engage and even touch us .,0
"While obviously aimed at kids , The Country Bears ... should keep parents amused with its low groan-to-guffaw ratio .",0
Calling this movie brainless would be paying it a compliment : it 's more like entertainment for trolls .,0
"By the standards of knucklehead swill , The Hot Chick is pretty damned funny .",0
"The cast , collectively a successful example of the lovable-loser protagonist , shows deft comic timing .",0
"Quaid is utterly fearless as the tortured husband living a painful lie , and Moore wonderfully underplays the long-suffering heroine with an unflappable '50s dignity somewhere between Jane Wyman and June Cleaver .",0
By turns very dark and very funny .,0
"Thanks to The ChÃ¢teau 's balance of whimsicality , narrative discipline and serious improvisation , almost every relationship and personality in the film yields surprises .",0
"Feels slight , as if it were an extended short , albeit one made by the smartest kids in class .",0
"Though overall an overwhelmingly positive portrayal , the film does n't ignore the more problematic aspects of Brown 's life .",0
"As a film director , LaBute continues to improve .",0
"Disappointingly , the characters are too strange and dysfunctional , Tom included , to ever get under the skin , but this is compensated in large part by the off-the-wall dialogue , visual playfulness and the outlandishness of the idea itself .",0
"Gosling creates a staggeringly compelling character , a young man whose sharp intellect is at the very root of his contradictory , self-hating , self-destructive ways .",0
"Returning aggressively to his formula of dimwitted comedy and even dimmer characters , Sandler , who also executive produces , has made a film that makes previous vehicles look smart and sassy .",0
A beautifully observed character piece .,0
"Despite all the talking , by the time the bloody climax arrives we still do n't feel enough of an attachment to these guys to care one way or another .",0
LaBute 's careful handling makes the material seem genuine rather than pandering .,0
The film 's performances are thrilling .,0
"Like Mike is a harmlessly naÃ¯ve slice of b-ball fantasy , fit for filling in during the real NBA 's off-season .",0
Gets better after Foster leaves that little room .,0
It 's like an all-star salute to Disney 's cheesy commercialism .,0
The kind of sweet-and-sour insider movie that film buffs will eat up like so much gelati .,0
"If this disposable tissue has one wild card , it 's John Turturro , who 's simply fab as a Spanish butler with a foot fetish .",0
"A genuinely funny ensemble comedy that also asks its audience -- in a heartwarming , nonjudgmental kind of way -- to consider what we value in our daily lives .",0
"A light , engaging comedy that fumbles away almost all of its accumulated enjoyment with a crucial third act miscalculation .",0
"The movie , like Bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes .",0
"Directing with a sure and measured hand , -LRB- Haneke -RRB- steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology .",0
Winds up feeling like lots of other quirky movies that try to score hipness points with young adults .,0
An enjoyable comedy of lingual and cultural differences ... The ChÃ¢teau is a film -- full of life and small delights -- that has all the wiggling energy of young kitten .,0
"As lo-fi as the special effects are , the folks who cobbled Nemesis together indulge the force of humanity over hardware in a way that George Lucas has long forgotten .",0
"While Undercover Brother is definitely one for the masses , it 's also full of sharp , smart satire .",0
"Brings to a spectacular completion one of the most complex , generous and subversive artworks of the last decade .",0
is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his Halloween trip to the Haunted House .,0
"... one big laugh , three or four mild giggles , and a whole lot of not much else .",0
